Year,Targets ,State,County,Value,Stage
2019,Targeted in 2019,Connecticut,"Litchfield, CT",3,Applicant
2019,Targeted in 2019,Connecticut,"Middlesex, CT",4,Applicant
2019,Targeted in 2019,Connecticut,"New Haven, CT",7,Applicant
2019,Targeted in 2019,Connecticut,"New London, CT",4,Applicant
2019,Targeted in 2019,Connecticut,"Windham, CT",2,Applicant
2019,Targeted in 2019,Massachusetts,"Barnstable, MA",4,Applicant
2019,Targeted in 2019,Massachusetts,"Berkshire, MA",2,Applicant
2019,Targeted in 2019,Massachusetts,"Bristol, MA",11,Applicant
2019,Targeted in 2019,Massachusetts,"Essex, MA",26,Applicant
2019,Targeted in 2019,Massachusetts,"Hampden, MA",3,Applicant
2019,Targeted in 2019,Massachusetts,"Middlesex, MA",26,Applicant
2019,Targeted in 2019,Massachusetts,"Norfolk, MA",9,Applicant
2019,Targeted in 2019,Massachusetts,"Plymouth, MA",13,Applicant
2019,Targeted in 2019,Massachusetts,"Suffolk, MA",9,Applicant
2019,Targeted in 2019,Massachusetts,"Worcester, MA",10,Applicant
2019,Targeted in 2019,New Hampshire,"Carroll, NH",6,Applicant
2019,Targeted in 2019,New Hampshire,"Cheshire, NH",3,Applicant
2019,Targeted in 2019,New Hampshire,"Grafton, NH",3,Applicant
2019,Targeted in 2019,New Hampshire,"Hillsborough, NH",14,Applicant
2019,Targeted in 2019,New Hampshire,"Merrimack, NH",10,Applicant
2019,Targeted in 2019,New Hampshire,"Rockingham, NH",14,Applicant
2019,Targeted in 2019,New Hampshire,"Strafford, NH",15,Applicant
2019,Targeted in 2019,Vermont,"Caledonia, VT",4,Applicant
2019,Targeted in 2019,Vermont,"Cheshire, NH",0,Applicant
2019,Targeted in 2019,Vermont,"Chittenden, VT",7,Applicant
2019,Targeted in 2019,Vermont,"Orange, VT",3,Applicant
2019,Targeted in 2019,Vermont,"Rutland, VT",6,Applicant
2019,Targeted in 2019,Vermont,"Washington, VT",3,Applicant
2019,Targeted in 2019,Rhode Island,"Providence, RI",7,Applicant
2019,Targeted in 2019,Rhode Island,"Washington, RI",2,Applicant
2019,Other,Connecticut,Other,4,Applicant
2019,Other,Massachusetts,Other,8,Applicant
2019,Other,New Hampshire,"Belknap, NH",6,Applicant
2019,Other,New Hampshire,"Sullivan, NH",3,Applicant
2019,Other,New Hampshire,Other,2,Applicant
2019,Other,Vermont,"Windham, VT",2,Applicant
2019,Other,Vermont,"Windsor, VT",5,Applicant
2019,Other,Vermont,Other,9,Applicant
2019,Other,Rhode Island,Other,4,Applicant
2018,Other,Connecticut,"Litchfield, CT",4,Applicant
2018,Other,Connecticut,"Middlesex, CT",4,Applicant
2018,Other,Connecticut,"New London, CT",2,Applicant
2018,Other,Connecticut,"Windham, CT",4,Applicant
2018,Other,Connecticut,Other,2,Applicant
2018,Other,Massachusetts,"Barnstable, MA",8,Applicant
2018,Other,Massachusetts,"Berkshire, MA",0,Applicant
2018,Other,Massachusetts,"Bristol, MA",6,Applicant
